o_zone,d_zone,volume,o_lon,o_lat,d_lon,d_lat
motorway_link / 20433217 / 1,I 95 / 930885998 / 1,801.0,-77.253582,38.66833,-77.296509,38.621798
motorway_link / 20438740 / 1,I 95 / 870344425 / 3,750.0,-77.296767,38.627503,-77.273334,38.665297
I 95 / 870344425 / 3,motorway_link / 20423565 / 1,746.0,-77.273334,38.665297,-77.282249,38.655836
motorway_link / 20429249 / 1,motorway_link / 20424282 / 1,737.0,-77.278396,38.65484,-77.250795,38.671578
motorway_link / 20422572 / 1,motorway_link / 20428850 / 1,717.0,-77.294613,38.629963,-77.291626,38.625871
motorway_link / 20438740 / 1,motorway_link / 20440946 / 1,716.0,-77.296767,38.627503,-77.277371,38.657047
motorway_link / 20422548 / 1,I 95 / 930885998 / 1,713.0,-77.291467,38.626107,-77.296509,38.621798
motorway_link / 20422572 / 1,motorway_link / 20419324 / 1,699.0,-77.294613,38.629963,-77.299016,38.617012
motorway_link / 20438740 / 1,I 95 / 51826852 / 1,685.0,-77.296767,38.627503,-77.2439017,38.6725688
95 Express Lanes / 51826731 / 1,motorway_link / 537938954 / 1,684.0,-77.2442283,38.6726982,-77.2786685,38.6597381
I 95 / 687358695 / 1,motorway_link / 20424282 / 1,682.0,-77.299459,38.614725,-77.250795,38.671578
95 Express Lanes / 436339933 / 1,motorway_link / 51808516 / 1,681.0,-77.269421,38.667734,-77.285855,38.64729
I 95 / 51826856 / 1,motorway_link / 291999598 / 1,653.0,-77.2474419,38.6720128,-77.277856,38.654954
motorway_link / 20441697 / 1,I 95 / 872165161 / 1,638.0,-77.277166,38.656797,-77.27768,38.660763
I 95 / 51826856 / 1,95 Express Lanes / 636701141 / 1,634.0,-77.2474419,38.6720128,-77.2823897,38.6517095
motorway_link / 20439725 / 1,I 95 / 307480708 / 1,631.0,-77.251688,38.671924,-77.2865384,38.6435084
I 95 / 872165161 / 1,95 Express Lanes / 636701144 / 1,624.0,-77.27768,38.660763,-77.29493,38.624323
95 Express Lanes / 436339933 / 1,I 95 / 51826852 / 1,623.0,-77.269421,38.667734,-77.2439017,38.6725688
motorway_link / 20422572 / 1,I 95 / 51826852 / 1,620.0,-77.294613,38.629963,-77.2439017,38.6725688
I 95 / 872163516 / 1,95 Express Lanes / 636701144 / 1,615.0,-77.2883731,38.6412562,-77.29493,38.624323
I 95 / 307480708 / 1,95 Express Lanes / 436339933 / 1,601.0,-77.2865384,38.6435084,-77.269421,38.667734
motorway_link / 20433806 / 1,motorway_link / 20428381 / 1,596.0,-77.2887208,38.6361495,-77.291405,38.634916
motorway_link / 175659792 / 1,motorway_link / 20419324 / 1,568.0,-77.29779,38.620032,-77.299016,38.617012
motorway_link / 20428464 / 1,motorway_link / 20428381 / 1,534.0,-77.288828,38.634061,-77.291405,38.634916
motorway_link / 20433217 / 1,motorway_link / 20439589 / 1,529.0,-77.253582,38.66833,-77.29605,38.626999
I 95 / 687358695 / 1,95 Express Lanes / 436339933 / 1,528.0,-77.299459,38.614725,-77.269421,38.667734
motorway_link / 20428464 / 1,motorway_link / 20419653 / 1,519.0,-77.288828,38.634061,-77.254753,38.668513
motorway_link / 20433806 / 1,motorway_link / 20439589 / 1,510.0,-77.2887208,38.6361495,-77.29605,38.626999
motorway_link / 124891274 / 1,I 95 / 872165161 / 1,502.0,-77.286292,38.6427021,-77.27768,38.660763
I 95 / 51826856 / 1,95 Express Lanes / 636701144 / 1,501.0,-77.2474419,38.6720128,-77.29493,38.624323
motorway_link / 20429249 / 1,motorway_link / 20439589 / 1,489.0,-77.278396,38.65484,-77.29605,38.626999
motorway_link / 20433217 / 1,motorway_link / 20428381 / 1,486.0,-77.253582,38.66833,-77.291405,38.634916
95 Express Lanes / 636701141 / 1,motorway_link / 537938574 / 4,484.0,-77.2823897,38.6517095,,
motorway_link / 20432309 / 2,motorway_link / 206378233 / 1,480.0,-77.281641,38.654355,-77.290358,38.629173
motorway_link / 20428464 / 1,I 95 / 872163516 / 1,466.0,-77.288828,38.634061,-77.2883731,38.6412562
I 95 / 307480708 / 1,95 Express Lanes / 51826731 / 1,452.0,-77.2865384,38.6435084,-77.2442283,38.6726982
motorway_link / 20428464 / 1,motorway_link / 20440919 / 1,450.0,-77.288828,38.634061,-77.28045,38.657226
motorway_link / 20435035 / 1,motorway_link / 20419653 / 1,439.0,-77.290112,38.629033,-77.254753,38.668513
95 Express Lanes / 636701144 / 1,motorway_link / 537938574 / 4,438.0,-77.29493,38.624323,,
motorway_link / 20422572 / 1,motorway_link / 206378233 / 1,437.0,-77.294613,38.629963,-77.290358,38.629173
motorway_link / 20433806 / 1,motorway_link / 20440919 / 1,421.0,-77.2887208,38.6361495,-77.28045,38.657226
95 Express Lanes / 636701141 / 1,motorway_link / 20428381 / 1,418.0,-77.2823897,38.6517095,-77.291405,38.634916
95 Express Lanes / 636701141 / 1,motorway_link / 51808516 / 1,410.0,-77.2823897,38.6517095,-77.285855,38.64729
motorway_link / 20441697 / 1,motorway_link / 20423565 / 1,401.0,-77.277166,38.656797,-77.282249,38.655836
I 95 / 872165161 / 1,motorway_link / 537938954 / 1,395.0,-77.27768,38.660763,-77.2786685,38.6597381
motorway_link / 51808516 / 1,motorway_link / 20419324 / 1,391.0,-77.285855,38.64729,-77.299016,38.617012
I 95 / 51826856 / 1,motorway_link / 20419653 / 1,390.0,-77.2474419,38.6720128,-77.254753,38.668513
motorway_link / 20435035 / 1,motorway_link / 20428381 / 1,386.0,-77.290112,38.629033,-77.291405,38.634916
motorway_link / 61155967 / 1,motorway_link / 20440946 / 1,378.0,-77.253967,38.670992,-77.277371,38.657047
I 95 / 687358695 / 1,motorway_link / 537938954 / 1,374.0,-77.299459,38.614725,-77.2786685,38.6597381
motorway_link / 20435035 / 1,motorway_link / 20440919 / 1,371.0,-77.290112,38.629033,-77.28045,38.657226
motorway_link / 20439725 / 1,motorway_link / 20423565 / 1,370.0,-77.251688,38.671924,-77.282249,38.655836
95 Express Lanes / 51826731 / 1,I 95 / 872165161 / 1,369.0,-77.2442283,38.6726982,-77.27768,38.660763
motorway_link / 124891274 / 1,I 95 / 872163516 / 1,367.0,-77.286292,38.6427021,-77.2883731,38.6412562
motorway_link / 61155962 / 1,95 Express Lanes / 51826731 / 1,357.0,-77.252337,38.672257,-77.2442283,38.6726982
I 95 / 307480708 / 1,motorway_link / 20423565 / 1,354.0,-77.2865384,38.6435084,-77.282249,38.655836
I 95 / 872165161 / 1,motorway_link / 20419653 / 1,354.0,-77.27768,38.660763,-77.254753,38.668513
motorway_link / 51862982 / 1,I 95 / 872165161 / 1,349.0,-77.251572,38.667206,-77.27768,38.660763
